state,month,households,persons,region,year
Connecticut,Oct 2025,209322,348163,NERO,2026
Connecticut,Nov 2025,204188,338147,NERO,2026
Connecticut,Dec 2025,--,--,NERO,2026
Connecticut,Jan 2026,--,--,NERO,2026
Connecticut,Feb 2026,--,--,NERO,2026
Connecticut,Mar 2026,--,--,NERO,2026
Connecticut,Apr 2026,--,--,NERO,2026
Connecticut,May 2026,--,--,NERO,2026
Connecticut,Jun 2026,--,--,NERO,2026
Connecticut,Jul 2026,--,--,NERO,2026
Connecticut,Aug 2026,--,--,NERO,2026
Connecticut,Sep 2026,--,--,NERO,2026
Maine,Oct 2025,94870,159476,NERO,2026
Maine,Nov 2025,94351,158388,NERO,2026
Maine,Dec 2025,--,--,NERO,2026
Maine,Jan 2026,--,--,NERO,2026
Maine,Feb 2026,--,--,NERO,2026
Maine,Mar 2026,--,--,NERO,2026
Maine,Apr 2026,--,--,NERO,2026
Maine,May 2026,--,--,NERO,2026
Maine,Jun 2026,--,--,NERO,2026
Maine,Jul 2026,--,--,NERO,2026
Maine,Aug 2026,--,--,NERO,2026
Maine,Sep 2026,--,--,NERO,2026
Massachusetts,Oct 2025,646073,1048515,NERO,2026
Massachusetts,Nov 2025,631699,1023313,NERO,2026
Massachusetts,Dec 2025,--,--,NERO,2026
Massachusetts,Jan 2026,--,--,NERO,2026
Massachusetts,Feb 2026,--,--,NERO,2026
Massachusetts,Mar 2026,--,--,NERO,2026
Massachusetts,Apr 2026,--,--,NERO,2026
Massachusetts,May 2026,--,--,NERO,2026
Massachusetts,Jun 2026,--,--,NERO,2026
Massachusetts,Jul 2026,--,--,NERO,2026
Massachusetts,Aug 2026,--,--,NERO,2026
Massachusetts,Sep 2026,--,--,NERO,2026
New Hampshire,Oct 2025,43041,76145,NERO,2026
New Hampshire,Nov 2025,42473,75087,NERO,2026
New Hampshire,Dec 2025,--,--,NERO,2026
New Hampshire,Jan 2026,--,--,NERO,2026
New Hampshire,Feb 2026,--,--,NERO,2026
New Hampshire,Mar 2026,--,--,NERO,2026
New Hampshire,Apr 2026,--,--,NERO,2026
New Hampshire,May 2026,--,--,NERO,2026
New Hampshire,Jun 2026,--,--,NERO,2026
New Hampshire,Jul 2026,--,--,NERO,2026
New Hampshire,Aug 2026,--,--,NERO,2026
New Hampshire,Sep 2026,--,--,NERO,2026
New York,Oct 2025,1713499,2889725,NERO,2026
New York,Nov 2025,1695051,2855955,NERO,2026
New York,Dec 2025,--,--,NERO,2026
New York,Jan 2026,--,--,NERO,2026
New York,Feb 2026,--,--,NERO,2026
New York,Mar 2026,--,--,NERO,2026
New York,Apr 2026,--,--,NERO,2026
New York,May 2026,--,--,NERO,2026
New York,Jun 2026,--,--,NERO,2026
New York,Jul 2026,--,--,NERO,2026
New York,Aug 2026,--,--,NERO,2026
New York,Sep 2026,--,--,NERO,2026
Rhode Island,Oct 2025,85270,135579,NERO,2026
Rhode Island,Nov 2025,83552,132146,NERO,2026
Rhode Island,Dec 2025,--,--,NERO,2026
Rhode Island,Jan 2026,--,--,NERO,2026
Rhode Island,Feb 2026,--,--,NERO,2026
Rhode Island,Mar 2026,--,--,NERO,2026
Rhode Island,Apr 2026,--,--,NERO,2026
Rhode Island,May 2026,--,--,NERO,2026
Rhode Island,Jun 2026,--,--,NERO,2026
Rhode Island,Jul 2026,--,--,NERO,2026
Rhode Island,Aug 2026,--,--,NERO,2026
Rhode Island,Sep 2026,--,--,NERO,2026
Vermont,Oct 2025,38326,62662,NERO,2026
Vermont,Nov 2025,37920,61707,NERO,2026
Vermont,Dec 2025,--,--,NERO,2026
Vermont,Jan 2026,--,--,NERO,2026
Vermont,Feb 2026,--,--,NERO,2026
Vermont,Mar 2026,--,--,NERO,2026
Vermont,Apr 2026,--,--,NERO,2026
Vermont,May 2026,--,--,NERO,2026
Vermont,Jun 2026,--,--,NERO,2026
Vermont,Jul 2026,--,--,NERO,2026
Vermont,Aug 2026,--,--,NERO,2026
Vermont,Sep 2026,--,--,NERO,2026
Delaware,Oct 2025,59773,117709,MARO,2026
Delaware,Nov 2025,61247,120848,MARO,2026
Delaware,Dec 2025,--,--,MARO,2026
Delaware,Jan 2026,--,--,MARO,2026
Delaware,Feb 2026,--,--,MARO,2026
Delaware,Mar 2026,--,--,MARO,2026
Delaware,Apr 2026,--,--,MARO,2026
Delaware,May 2026,--,--,MARO,2026
Delaware,Jun 2026,--,--,MARO,2026
Delaware,Jul 2026,--,--,MARO,2026
Delaware,Aug 2026,--,--,MARO,2026
Delaware,Sep 2026,--,--,MARO,2026
District of Columbia,Oct 2025,84857,139620,MARO,2026
District of Columbia,Nov 2025,84021,139966,MARO,2026
District of Columbia,Dec 2025,--,--,MARO,2026
District of Columbia,Jan 2026,--,--,MARO,2026
District of Columbia,Feb 2026,--,--,MARO,2026
District of Columbia,Mar 2026,--,--,MARO,2026
District of Columbia,Apr 2026,--,--,MARO,2026
District of Columbia,May 2026,--,--,MARO,2026
District of Columbia,Jun 2026,--,--,MARO,2026
District of Columbia,Jul 2026,--,--,MARO,2026
District of Columbia,Aug 2026,--,--,MARO,2026
District of Columbia,Sep 2026,--,--,MARO,2026
Maryland,Oct 2025,369891,665503,MARO,2026
Maryland,Nov 2025,336945,625814,MARO,2026
Maryland,Dec 2025,--,--,MARO,2026
Maryland,Jan 2026,--,--,MARO,2026
Maryland,Feb 2026,--,--,MARO,2026
Maryland,Mar 2026,--,--,MARO,2026
Maryland,Apr 2026,--,--,MARO,2026
Maryland,May 2026,--,--,MARO,2026
Maryland,Jun 2026,--,--,MARO,2026
Maryland,Jul 2026,--,--,MARO,2026
Maryland,Aug 2026,--,--,MARO,2026
Maryland,Sep 2026,--,--,MARO,2026
New Jersey,Oct 2025,437950,816513,MARO,2026
New Jersey,Nov 2025,430579,800681,MARO,2026
New Jersey,Dec 2025,--,--,MARO,2026
New Jersey,Jan 2026,--,--,MARO,2026
New Jersey,Feb 2026,--,--,MARO,2026
New Jersey,Mar 2026,--,--,MARO,2026
New Jersey,Apr 2026,--,--,MARO,2026
New Jersey,May 2026,--,--,MARO,2026
New Jersey,Jun 2026,--,--,MARO,2026
New Jersey,Jul 2026,--,--,MARO,2026
New Jersey,Aug 2026,--,--,MARO,2026
New Jersey,Sep 2026,--,--,MARO,2026
Pennsylvania,Oct 2025,1029754,1879268,MARO,2026
Pennsylvania,Nov 2025,1008970,1837300,MARO,2026
Pennsylvania,Dec 2025,--,--,MARO,2026
Pennsylvania,Jan 2026,--,--,MARO,2026
Pennsylvania,Feb 2026,--,--,MARO,2026
Pennsylvania,Mar 2026,--,--,MARO,2026
Pennsylvania,Apr 2026,--,--,MARO,2026
Pennsylvania,May 2026,--,--,MARO,2026
Pennsylvania,Jun 2026,--,--,MARO,2026
Pennsylvania,Jul 2026,--,--,MARO,2026
Pennsylvania,Aug 2026,--,--,MARO,2026
Pennsylvania,Sep 2026,--,--,MARO,2026
Virginia,Oct 2025,398826,768115,MARO,2026
Virginia,Nov 2025,425751,834680,MARO,2026
Virginia,Dec 2025,--,--,MARO,2026
Virginia,Jan 2026,--,--,MARO,2026
Virginia,Feb 2026,--,--,MARO,2026
Virginia,Mar 2026,--,--,MARO,2026
Virginia,Apr 2026,--,--,MARO,2026
Virginia,May 2026,--,--,MARO,2026
Virginia,Jun 2026,--,--,MARO,2026
Virginia,Jul 2026,--,--,MARO,2026
Virginia,Aug 2026,--,--,MARO,2026
Virginia,Sep 2026,--,--,MARO,2026
West Virginia,Oct 2025,143742,268514,MARO,2026
West Virginia,Nov 2025,141403,263723,MARO,2026
West Virginia,Dec 2025,--,--,MARO,2026
West Virginia,Jan 2026,--,--,MARO,2026
West Virginia,Feb 2026,--,--,MARO,2026
West Virginia,Mar 2026,--,--,MARO,2026
West Virginia,Apr 2026,--,--,MARO,2026
West Virginia,May 2026,--,--,MARO,2026
West Virginia,Jun 2026,--,--,MARO,2026
West Virginia,Jul 2026,--,--,MARO,2026
West Virginia,Aug 2026,--,--,MARO,2026
West Virginia,Sep 2026,--,--,MARO,2026
Alabama,Oct 2025,362548,722477,SERO,2026
Alabama,Nov 2025,354695,707340,SERO,2026
Alabama,Dec 2025,--,--,SERO,2026
Alabama,Jan 2026,--,--,SERO,2026
Alabama,Feb 2026,--,--,SERO,2026
Alabama,Mar 2026,--,--,SERO,2026
Alabama,Apr 2026,--,--,SERO,2026
Alabama,May 2026,--,--,SERO,2026
Alabama,Jun 2026,--,--,SERO,2026
Alabama,Jul 2026,--,--,SERO,2026
Alabama,Aug 2026,--,--,SERO,2026
Alabama,Sep 2026,--,--,SERO,2026
Florida,Oct 2025,1558431,2755013,SERO,2026
Florida,Nov 2025,1503968,2656217,SERO,2026
Florida,Dec 2025,--,--,SERO,2026
Florida,Jan 2026,--,--,SERO,2026
Florida,Feb 2026,--,--,SERO,2026
Florida,Mar 2026,--,--,SERO,2026
Florida,Apr 2026,--,--,SERO,2026
Florida,May 2026,--,--,SERO,2026
Florida,Jun 2026,--,--,SERO,2026
Florida,Jul 2026,--,--,SERO,2026
Florida,Aug 2026,--,--,SERO,2026
Florida,Sep 2026,--,--,SERO,2026
Georgia,Oct 2025,723500,1908523,SERO,2026
Georgia,Nov 2025,704325,1857209,SERO,2026
Georgia,Dec 2025,--,--,SERO,2026
Georgia,Jan 2026,--,--,SERO,2026
Georgia,Feb 2026,--,--,SERO,2026
Georgia,Mar 2026,--,--,SERO,2026
Georgia,Apr 2026,--,--,SERO,2026
Georgia,May 2026,--,--,SERO,2026
Georgia,Jun 2026,--,--,SERO,2026
Georgia,Jul 2026,--,--,SERO,2026
Georgia,Aug 2026,--,--,SERO,2026
Georgia,Sep 2026,--,--,SERO,2026
Kentucky,Oct 2025,285568,598629,SERO,2026
Kentucky,Nov 2025,281875,591669,SERO,2026
Kentucky,Dec 2025,--,--,SERO,2026
Kentucky,Jan 2026,--,--,SERO,2026
Kentucky,Feb 2026,--,--,SERO,2026
Kentucky,Mar 2026,--,--,SERO,2026
Kentucky,Apr 2026,--,--,SERO,2026
Kentucky,May 2026,--,--,SERO,2026
Kentucky,Jun 2026,--,--,SERO,2026
Kentucky,Jul 2026,--,--,SERO,2026
Kentucky,Aug 2026,--,--,SERO,2026
Kentucky,Sep 2026,--,--,SERO,2026
Mississippi,Oct 2025,175442,352065,SERO,2026
Mississippi,Nov 2025,170057,340676,SERO,2026
Mississippi,Dec 2025,--,--,SERO,2026
Mississippi,Jan 2026,--,--,SERO,2026
Mississippi,Feb 2026,--,--,SERO,2026
Mississippi,Mar 2026,--,--,SERO,2026
Mississippi,Apr 2026,--,--,SERO,2026
Mississippi,May 2026,--,--,SERO,2026
Mississippi,Jun 2026,--,--,SERO,2026
Mississippi,Jul 2026,--,--,SERO,2026
Mississippi,Aug 2026,--,--,SERO,2026
Mississippi,Sep 2026,--,--,SERO,2026
North Carolina,Oct 2025,670870,1347859,SERO,2026
North Carolina,Nov 2025,655226,1313857,SERO,2026
North Carolina,Dec 2025,--,--,SERO,2026
North Carolina,Jan 2026,--,--,SERO,2026
North Carolina,Feb 2026,--,--,SERO,2026
North Carolina,Mar 2026,--,--,SERO,2026
North Carolina,Apr 2026,--,--,SERO,2026
North Carolina,May 2026,--,--,SERO,2026
North Carolina,Jun 2026,--,--,SERO,2026
North Carolina,Jul 2026,--,--,SERO,2026
North Carolina,Aug 2026,--,--,SERO,2026
North Carolina,Sep 2026,--,--,SERO,2026
South Carolina,Oct 2025,263545,549979,SERO,2026
South Carolina,Nov 2025,255990,533298,SERO,2026
South Carolina,Dec 2025,--,--,SERO,2026
South Carolina,Jan 2026,--,--,SERO,2026
South Carolina,Feb 2026,--,--,SERO,2026
South Carolina,Mar 2026,--,--,SERO,2026
South Carolina,Apr 2026,--,--,SERO,2026
South Carolina,May 2026,--,--,SERO,2026
South Carolina,Jun 2026,--,--,SERO,2026
South Carolina,Jul 2026,--,--,SERO,2026
South Carolina,Aug 2026,--,--,SERO,2026
South Carolina,Sep 2026,--,--,SERO,2026
Tennessee,Oct 2025,324519,632974,SERO,2026
Tennessee,Nov 2025,351434,706856,SERO,2026
Tennessee,Dec 2025,--,--,SERO,2026
Tennessee,Jan 2026,--,--,SERO,2026
Tennessee,Feb 2026,--,--,SERO,2026
