state,month,households,persons,region,year
Connecticut,Oct 2024,230274,390261,NERO,2025
Connecticut,Nov 2024,228462,386771,NERO,2025
Connecticut,Dec 2024,225536,381151,NERO,2025
Connecticut,Jan 2025,224287,377990,NERO,2025
Connecticut,Feb 2025,220667,371398,NERO,2025
Connecticut,Mar 2025,219468,369097,NERO,2025
Connecticut,Apr 2025,218206,366018,NERO,2025
Connecticut,May 2025,217128,363524,NERO,2025
Connecticut,Jun 2025,216110,361655,NERO,2025
Connecticut,Jul 2025,213536,356394,NERO,2025
Connecticut,Aug 2025,212279,354057,NERO,2025
Connecticut,Sep 2025,211859,353219,NERO,2025
Maine,Oct 2024,102356,173225,NERO,2025
Maine,Nov 2024,101998,172548,NERO,2025
Maine,Dec 2024,101988,172409,NERO,2025
Maine,Jan 2025,101447,171238,NERO,2025
Maine,Feb 2025,96988,164102,NERO,2025
Maine,Mar 2025,98809,166729,NERO,2025
Maine,Apr 2025,97186,163723,NERO,2025
Maine,May 2025,97103,163520,NERO,2025
Maine,Jun 2025,96958,163056,NERO,2025
Maine,Jul 2025,96925,163108,NERO,2025
Maine,Aug 2025,96512,162203,NERO,2025
Maine,Sep 2025,95371,159989,NERO,2025
Massachusetts,Oct 2024,681062,1113312,NERO,2025
Massachusetts,Nov 2024,678399,1107342,NERO,2025
Massachusetts,Dec 2024,675043,1101049,NERO,2025
Massachusetts,Jan 2025,674362,1098366,NERO,2025
Massachusetts,Feb 2025,671325,1093061,NERO,2025
Massachusetts,Mar 2025,665925,1084299,NERO,2025
Massachusetts,Apr 2025,665980,1084257,NERO,2025
Massachusetts,May 2025,684574,1081316,NERO,2025
Massachusetts,Jun 2025,663156,1079234,NERO,2025
Massachusetts,Jul 2025,662282,1077698,NERO,2025
Massachusetts,Aug 2025,656632,1068848,NERO,2025
Massachusetts,Sep 2025,654932,1064245,NERO,2025
New Hampshire,Oct 2024,42706,76628,NERO,2025
New Hampshire,Nov 2024,42511,76135,NERO,2025
New Hampshire,Dec 2024,42586,76035,NERO,2025
New Hampshire,Jan 2025,42698,76174,NERO,2025
New Hampshire,Feb 2025,42455,75832,NERO,2025
New Hampshire,Mar 2025,42584,75718,NERO,2025
New Hampshire,Apr 2025,42635,75831,NERO,2025
New Hampshire,May 2025,42596,75717,NERO,2025
New Hampshire,Jun 2025,42528,75489,NERO,2025
