state,month,households,persons,region,year
Connecticut,Oct 2021,216821,369252,NERO,2022
Connecticut,Nov 2021,214609,365484,NERO,2022
Connecticut,Dec 2021,215995,368265,NERO,2022
Connecticut,Jan 2022,215898,369521,NERO,2022
Connecticut,Feb 2022,217360,373068,NERO,2022
Connecticut,Mar 2022,218334,374648,NERO,2022
Connecticut,Apr 2022,219207,376639,NERO,2022
Connecticut,May 2022,219695,378366,NERO,2022
Connecticut,Jun 2022,220674,380397,NERO,2022
Connecticut,Jul 2022,221168,381393,NERO,2022
Connecticut,Aug 2022,222674,383809,NERO,2022
Connecticut,Sep 2022,222430,383490,NERO,2022
Maine,Oct 2021,92435,163358,NERO,2022
Maine,Nov 2021,91115,157968,NERO,2022
Maine,Dec 2021,91706,159234,NERO,2022
Maine,Jan 2022,91249,158573,NERO,2022
Maine,Feb 2022,91806,159728,NERO,2022
Maine,Mar 2022,92749,161066,NERO,2022
Maine,Apr 2022,93052,161581,NERO,2022
Maine,May 2022,94094,163275,NERO,2022
Maine,Jun 2022,94820,164604,NERO,2022
Maine,Jul 2022,94820,164604,NERO,2022
Maine,Aug 2022,96146,166683,NERO,2022
Maine,Sep 2022,95927,165233,NERO,2022
Massachusetts,Oct 2021,586273,981368,NERO,2022
Massachusetts,Nov 2021,591202,988831,NERO,2022
Massachusetts,Dec 2021,596829,996444,NERO,2022
Massachusetts,Jan 2022,605489,1009432,NERO,2022
Massachusetts,Feb 2022,610263,1018183,NERO,2022
Massachusetts,Mar 2022,618063,1031670,NERO,2022
Massachusetts,Apr 2022,619907,1032580,NERO,2022
Massachusetts,May 2022,623184,1037812,NERO,2022
Massachusetts,Jun 2022,625069,1041662,NERO,2022
Massachusetts,Jul 2022,628346,1046946,NERO,2022
Massachusetts,Aug 2022,632015,1050682,NERO,2022
Massachusetts,Sep 2022,637110,1057692,NERO,2022
New Hampshire,Oct 2021,36214,68794,NERO,2022
New Hampshire,Nov 2021,36163,68860,NERO,2022
New Hampshire,Dec 2021,36114,68860,NERO,2022
New Hampshire,Jan 2022,35983,68778,NERO,2022
New Hampshire,Feb 2022,35355,67569,NERO,2022
New Hampshire,Mar 2022,35826,68632,NERO,2022
New Hampshire,Apr 2022,36129,69214,NERO,2022
New Hampshire,May 2022,36433,69567,NERO,2022
New Hampshire,Jun 2022,36779,70077,NERO,2022
New Hampshire,Jul 2022,36907,70247,NERO,2022
New Hampshire,Aug 2022,37266,70851,NERO,2022
New Hampshire,Sep 2022,37334,70668,NERO,2022
New York,Oct 2021,1599320,2768049,NERO,2022
New York,Nov 2021,1612903,2778458,NERO,2022
New York,Dec 2021,1611704,2782455,NERO,2022
New York,Jan 2022,1626534,2808646,NERO,2022
New York,Feb 2022,1639136,2836489,NERO,2022
New York,Mar 2022,1663105,2877376,NERO,2022
New York,Apr 2022,1653722,2871999,NERO,2022
New York,May 2022,1652580,2873666,NERO,2022
New York,Jun 2022,1652550,2867285,NERO,2022
New York,Jul 2022,1663815,2884036,NERO,2022
New York,Aug 2022,1660684,2876474,NERO,2022
New York,Sep 2022,1647128,2846983,NERO,2022
Rhode Island,Oct 2021,86093,139432,NERO,2022
Rhode Island,Nov 2021,85639,138760,NERO,2022
Rhode Island,Dec 2021,85221,138366,NERO,2022
Rhode Island,Jan 2022,84960,138357,NERO,2022
Rhode Island,Feb 2022,84645,138290,NERO,2022
Rhode Island,Mar 2022,84931,138953,NERO,2022
Rhode Island,Apr 2022,84958,139089,NERO,2022
Rhode Island,May 2022,85010,139204,NERO,2022
Rhode Island,Jun 2022,85654,140294,NERO,2022
Rhode Island,Jul 2022,85845,140710,NERO,2022
Rhode Island,Aug 2022,85941,140610,NERO,2022
Rhode Island,Sep 2022,85883,140274,NERO,2022
Vermont,Oct 2021,38777,66655,NERO,2022
Vermont,Nov 2021,39312,67693,NERO,2022
Vermont,Dec 2021,39845,68634,NERO,2022
Vermont,Jan 2022,40468,69992,NERO,2022
Vermont,Feb 2022,40516,70103,NERO,2022
Vermont,Mar 2022,40540,70030,NERO,2022
Vermont,Apr 2022,40534,69855,NERO,2022
Vermont,May 2022,40529,69736,NERO,2022
Vermont,Jun 2022,40535,69754,NERO,2022
Vermont,Jul 2022,40654,69900,NERO,2022
Vermont,Aug 2022,40991,70475,NERO,2022
Vermont,Sep 2022,41342,70970,NERO,2022
Delaware,Oct 2021,56846,114173,MARO,2022
Delaware,Nov 2021,57852,116825,MARO,2022
Delaware,Dec 2021,58783,119189,MARO,2022
Delaware,Jan 2022,58768,119414,MARO,2022
Delaware,Feb 2022,58713,119215,MARO,2022
Delaware,Mar 2022,58345,117809,MARO,2022
Delaware,Apr 2022,58775,118608,MARO,2022
Delaware,May 2022,59084,119279,MARO,2022
Delaware,Jun 2022,59456,120298,MARO,2022
Delaware,Jul 2022,59677,120873,MARO,2022
Delaware,Aug 2022,60111,121463,MARO,2022
Delaware,Sep 2022,59244,118952,MARO,2022
District of Columbia,Oct 2021,87795,142842,MARO,2022
District of Columbia,Nov 2021,89580,144659,MARO,2022
District of Columbia,Dec 2021,89987,146036,MARO,2022
District of Columbia,Jan 2022,90324,147178,MARO,2022
District of Columbia,Feb 2022,91018,147449,MARO,2022
District of Columbia,Mar 2022,91993,147846,MARO,2022
District of Columbia,Apr 2022,92864,149032,MARO,2022
District of Columbia,May 2022,90742,150321,MARO,2022
District of Columbia,Jun 2022,89845,146180,MARO,2022
District of Columbia,Jul 2022,88948,143899,MARO,2022
District of Columbia,Aug 2022,87877,142764,MARO,2022
District of Columbia,Sep 2022,86696,141450,MARO,2022
Maryland,Oct 2021,492942,864649,MARO,2022
Maryland,Nov 2021,496186,871002,MARO,2022
Maryland,Dec 2021,501384,881719,MARO,2022
Maryland,Jan 2022,498509,871410,MARO,2022
Maryland,Feb 2022,503320,881093,MARO,2022
Maryland,Mar 2022,490039,859848,MARO,2022
Maryland,Apr 2022,434238,763047,MARO,2022
Maryland,May 2022,395624,701036,MARO,2022
Maryland,Jun 2022,367309,657523,MARO,2022
Maryland,Jul 2022,341059,618938,MARO,2022
Maryland,Aug 2022,362811,662640,MARO,2022
Maryland,Sep 2022,350402,639869,MARO,2022
New Jersey,Oct 2021,463171,894132,MARO,2022
New Jersey,Nov 2021,467230,901837,MARO,2022
New Jersey,Dec 2021,467087,901025,MARO,2022
New Jersey,Jan 2022,468521,903939,MARO,2022
New Jersey,Feb 2022,465936,898217,MARO,2022
New Jersey,Mar 2022,467575,900996,MARO,2022
New Jersey,Apr 2022,449124,864280,MARO,2022
New Jersey,May 2022,436078,839848,MARO,2022
New Jersey,Jun 2022,425864,821618,MARO,2022
New Jersey,Jul 2022,414247,800183,MARO,2022
