state,month,households,persons,region,year
Connecticut,Oct 2019,213305,364659,NERO,2020
Connecticut,Nov 2019,212893,363535,NERO,2020
Connecticut,Dec 2019,211588,360523,NERO,2020
Connecticut,Jan 2020,212256,360832,NERO,2020
Connecticut,Feb 2020,212069,360031,NERO,2020
Connecticut,Mar 2020,211990,360128,NERO,2020
Connecticut,Apr 2020,222008,379936,NERO,2020
Connecticut,May 2020,225676,387217,NERO,2020
Connecticut,Jun 2020,225622,387097,NERO,2020
Connecticut,Jul 2020,225789,386966,NERO,2020
Connecticut,Aug 2020,222119,380909,NERO,2020
Connecticut,Sep 2020,219073,375825,NERO,2020
Maine,Oct 2019,86519,156450,NERO,2020
Maine,Nov 2019,85974,155073,NERO,2020
Maine,Dec 2019,86268,155325,NERO,2020
Maine,Jan 2020,85905,154069,NERO,2020
Maine,Feb 2020,85566,154047,NERO,2020
Maine,Mar 2020,86222,153770,NERO,2020
Maine,Apr 2020,93984,173241,NERO,2020
Maine,May 2020,93845,168712,NERO,2020
Maine,Jun 2020,94113,168393,NERO,2020
Maine,Jul 2020,92073,161589,NERO,2020
Maine,Aug 2020,91786,161975,NERO,2020
Maine,Sep 2020,89837,157300,NERO,2020
Massachusetts,Oct 2019,456617,764525,NERO,2020
Massachusetts,Nov 2019,456230,762699,NERO,2020
Massachusetts,Dec 2019,455739,760469,NERO,2020
Massachusetts,Jan 2020,458378,763475,NERO,2020
Massachusetts,Feb 2020,458066,761339,NERO,2020
Massachusetts,Mar 2020,484644,786814,NERO,2020
Massachusetts,Apr 2020,520762,881787,NERO,2020
Massachusetts,May 2020,538452,914328,NERO,2020
Massachusetts,Jun 2020,515524,863321,NERO,2020
Massachusetts,Jul 2020,509835,850765,NERO,2020
Massachusetts,Aug 2020,517289,868410,NERO,2020
Massachusetts,Sep 2020,520589,877118,NERO,2020
New Hampshire,Oct 2019,38855,73416,NERO,2020
New Hampshire,Nov 2019,38584,71426,NERO,2020
New Hampshire,Dec 2019,38346,72461,NERO,2020
New Hampshire,Jan 2020,38294,72283,NERO,2020
New Hampshire,Feb 2020,38180,71925,NERO,2020
New Hampshire,Mar 2020,38229,72006,NERO,2020
New Hampshire,Apr 2020,40455,77279,NERO,2020
New Hampshire,May 2020,40617,77892,NERO,2020
New Hampshire,Jun 2020,38476,72205,NERO,2020
New Hampshire,Jul 2020,37589,69801,NERO,2020
New Hampshire,Aug 2020,37153,69573,NERO,2020
New Hampshire,Sep 2020,36965,69787,NERO,2020
New York,Oct 2019,1477129,2576099,NERO,2020
New York,Nov 2019,1476914,2573483,NERO,2020
New York,Dec 2019,1477591,2570821,NERO,2020
New York,Jan 2020,1478960,2570601,NERO,2020
New York,Feb 2020,1474315,2560098,NERO,2020
New York,Mar 2020,1476054,2561187,NERO,2020
New York,Apr 2020,1543983,2683002,NERO,2020
New York,May 2020,1565993,2735982,NERO,2020
New York,Jun 2020,1588996,2774025,NERO,2020
New York,Jul 2020,1591841,2750252,NERO,2020
New York,Aug 2020,1592924,2756187,NERO,2020
New York,Sep 2020,1608752,2789533,NERO,2020
Rhode Island,Oct 2019,89025,147597,NERO,2020
Rhode Island,Nov 2019,89723,148519,NERO,2020
Rhode Island,Dec 2019,88881,147010,NERO,2020
Rhode Island,Jan 2020,88183,145831,NERO,2020
Rhode Island,Feb 2020,88420,145910,NERO,2020
Rhode Island,Mar 2020,88195,145411,NERO,2020
Rhode Island,Apr 2020,91206,150824,NERO,2020
Rhode Island,May 2020,91510,151110,NERO,2020
Rhode Island,Jun 2020,90177,147785,NERO,2020
Rhode Island,Jul 2020,88827,144274,NERO,2020
Rhode Island,Aug 2020,87231,142035,NERO,2020
Rhode Island,Sep 2020,84756,137892,NERO,2020
Vermont,Oct 2019,38544,67296,NERO,2020
Vermont,Nov 2019,38695,67392,NERO,2020
Vermont,Dec 2019,38851,67680,NERO,2020
