state,month,households,persons,region,year
Connecticut,Oct 2018,217619,376447,NERO,2019
Connecticut,Nov 2018,216134,374230,NERO,2019
Connecticut,Dec 2018,215283,372079,NERO,2019
Connecticut,Jan 2019 /2,215132,371393,NERO,2019
Connecticut,Feb 2019 /2,19891,39270,NERO,2019
Connecticut,Mar 2019,213248,366453,NERO,2019
Connecticut,Apr 2019,212331,364182,NERO,2019
Connecticut,May 2019,212602,364456,NERO,2019
Connecticut,Jun 2019,212355,363578,NERO,2019
Connecticut,Jul 2019,212611,364092,NERO,2019
Connecticut,Aug 2019,213062,364704,NERO,2019
Connecticut,Sep 2019,212861,364474,NERO,2019
Maine,Oct 2018,86368,159320,NERO,2019
Maine,Nov 2018,85990,158401,NERO,2019
Maine,Dec 2018,85243,157026,NERO,2019
Maine,Jan 2019 /2,85308,157160,NERO,2019
Maine,Feb 2019 /2,5313,10078,NERO,2019
Maine,Mar 2019,84826,155564,NERO,2019
Maine,Apr 2019,85139,155769,NERO,2019
Maine,May 2019,85445,156166,NERO,2019
Maine,Jun 2019,85564,156232,NERO,2019
Maine,Jul 2019,85292,155749,NERO,2019
Maine,Aug 2019,85862,156079,NERO,2019
Maine,Sep 2019,85996,155648,NERO,2019
Massachusetts,Oct 2018,451379,768374,NERO,2019
Massachusetts,Nov 2018,451033,767420,NERO,2019
Massachusetts,Dec 2018,448876,762672,NERO,2019
Massachusetts,Jan 2019 /2,447729,759254,NERO,2019
Massachusetts,Feb 2019 /2,49078,83104,NERO,2019
Massachusetts,Mar 2019,446236,754623,NERO,2019
Massachusetts,Apr 2019,445664,752757,NERO,2019
Massachusetts,May 2019,446143,752862,NERO,2019
Massachusetts,Jun 2019,447612,754843,NERO,2019
Massachusetts,Jul 2019,450879,759398,NERO,2019
Massachusetts,Aug 2019,453658,762684,NERO,2019
Massachusetts,Sep 2019,455252,764203,NERO,2019
New Hampshire,Oct 2018,40944,79727,NERO,2019
New Hampshire,Nov 2018,40803,79137,NERO,2019
New Hampshire,Dec 2018,40376,78053,NERO,2019
New Hampshire,Jan 2019 /2,40708,78653,NERO,2019
New Hampshire,Feb 2019 /2,2880,5614,NERO,2019
New Hampshire,Mar 2019,39972,76762,NERO,2019
New Hampshire,Apr 2019,39760,76113,NERO,2019
New Hampshire,May 2019,39479,75411,NERO,2019
New Hampshire,Jun 2019,39015,74354,NERO,2019
New Hampshire,Jul 2019,38754,73837,NERO,2019
New Hampshire,Aug 2019,38777,73775,NERO,2019
New Hampshire,Sep 2019,38747,73506,NERO,2019
New York,Oct 2018,1536243,2727462,NERO,2019
New York,Nov 2018,1527245,2706697,NERO,2019
New York,Dec 2018,1527054,2702602,NERO,2019
New York,Jan 2019 /2,1531428,2705107,NERO,2019
New York,Feb 2019 /2,1526845,2690578,NERO,2019
New York,Mar 2019,1522410,2681717,NERO,2019
New York,Apr 2019,1514547,2662511,NERO,2019
New York,May 2019,1505591,2642450,NERO,2019
New York,Jun 2019,1496844,2623177,NERO,2019
New York,Jul 2019,1492844,2613091,NERO,2019
New York,Aug 2019,1486402,2598826,NERO,2019
New York,Sep 2019,1481195,2586186,NERO,2019
Rhode Island,Oct 2018,93735,157948,NERO,2019
Rhode Island,Nov 2018,94543,158750,NERO,2019
Rhode Island,Dec 2018,93709,157079,NERO,2019
Rhode Island,Jan 2019 /2,92394,155099,NERO,2019
Rhode Island,Feb 2019 /2,9771,20281,NERO,2019
Rhode Island,Mar 2019,90976,151822,NERO,2019
