state,month,households,persons,region,year
Connecticut,Oct 2023,229750,393847,NERO,2024
Connecticut,Nov 2023,228992,392246,NERO,2024
Connecticut,Dec 2023,227888,389776,NERO,2024
Connecticut,Jan 2024,227629,387807,NERO,2024
Connecticut,Feb 2024,228138,388350,NERO,2024
Connecticut,Mar 2024,230760,393485,NERO,2024
Connecticut,Apr 2024,230310,391861,NERO,2024
Connecticut,May 2024,231120,393297,NERO,2024
Connecticut,Jun 2024,230121,391480,NERO,2024
Connecticut,Jul 2024,229449,389512,NERO,2024
Connecticut,Aug 2024,230115,390263,NERO,2024
Connecticut,Sep 2024,231171,392528,NERO,2024
Maine,Oct 2023,98473,168704,NERO,2024
Maine,Nov 2023,98866,169391,NERO,2024
Maine,Dec 2023,99493,170285,NERO,2024
Maine,Jan 2024,100250,171355,NERO,2024
Maine,Feb 2024,100550,171488,NERO,2024
Maine,Mar 2024,101544,172725,NERO,2024
Maine,Apr 2024,101728,172809,NERO,2024
Maine,May 2024,102152,173259,NERO,2024
Maine,Jun 2024,102806,174410,NERO,2024
Maine,Jul 2024,102757,174391,NERO,2024
Maine,Aug 2024,102801,174294,NERO,2024
Maine,Sep 2024,102588,173674,NERO,2024
Massachusetts,Oct 2023,667750,1100805,NERO,2024
Massachusetts,Nov 2023,664508,1093974,NERO,2024
Massachusetts,Dec 2023,669163,1101421,NERO,2024
Massachusetts,Jan 2024,673591,1106635,NERO,2024
Massachusetts,Feb 2024,676900,1110856,NERO,2024
Massachusetts,Mar 2024,680418,1115462,NERO,2024
Massachusetts,Apr 2024,682943,1118906,NERO,2024
Massachusetts,May 2024,685602,1122571,NERO,2024
Massachusetts,Jun 2024,686814,1124894,NERO,2024
Massachusetts,Jul 2024,687643,1126907,NERO,2024
Massachusetts,Aug 2024,685688,1122703,NERO,2024
Massachusetts,Sep 2024,683717,1119000,NERO,2024
New Hampshire,Oct 2023,42496,77911,NERO,2024
New Hampshire,Nov 2023,42120,77451,NERO,2024
