state,month,households,persons,region,year
Connecticut,Oct 2022,224381,387527,NERO,2023
Connecticut,Nov 2022,224284,385500,NERO,2023
Connecticut,Dec 2022,225221,387126,NERO,2023
Connecticut,Jan 2023,225538,387971,NERO,2023
Connecticut,Feb 2023,226968,390726,NERO,2023
Connecticut,Mar 2023,228262,393179,NERO,2023
Connecticut,Apr 2023,229315,395426,NERO,2023
Connecticut,May 2023,230890,398076,NERO,2023
Connecticut,Jun 2023,231610,398838,NERO,2023
Connecticut,Jul 2023,231540,398422,NERO,2023
Connecticut,Aug 2023,229978,394757,NERO,2023
Connecticut,Sep 2023,229063,392637,NERO,2023
Maine,Oct 2022,96740,167793,NERO,2023
Maine,Nov 2022,97258,168314,NERO,2023
Maine,Dec 2022,98213,170373,NERO,2023
Maine,Jan 2023,96630,167399,NERO,2023
Maine,Feb 2023,97153,168290,NERO,2023
Maine,Mar 2023,96932,167152,NERO,2023
Maine,Apr 2023,96345,165743,NERO,2023
Maine,May 2023,97149,167002,NERO,2023
Maine,Jun 2023,97783,167887,NERO,2023
Maine,Jul 2023,97983,168117,NERO,2023
Maine,Aug 2023,98014,167728,NERO,2023
Maine,Sep 2023,98003,167416,NERO,2023
Massachusetts,Oct 2022,641088,1061815,NERO,2023
Massachusetts,Nov 2022,643864,1065051,NERO,2023
Massachusetts,Dec 2022,648808,1071174,NERO,2023
Massachusetts,Jan 2023,654790,1079181,NERO,2023
Massachusetts,Feb 2023,656778,1081944,NERO,2023
Massachusetts,Mar 2023,659501,1085742,NERO,2023
Massachusetts,Apr 2023,660465,1087259,NERO,2023
Massachusetts,May 2023,663065,1091117,NERO,2023
Massachusetts,Jun 2023,663150,1092236,NERO,2023
Massachusetts,Jul 2023,664241,1095478,NERO,2023
Massachusetts,Aug 2023,665300,1097544,NERO,2023
Massachusetts,Sep 2023,666841,1099923,NERO,2023
New Hampshire,Oct 2022,37550,71145,NERO,2023
New Hampshire,Nov 2022,37621,71087,NERO,2023
New Hampshire,Dec 2022,37753,71316,NERO,2023
New Hampshire,Jan 2023,38724,72969,NERO,2023
New Hampshire,Feb 2023,39129,73370,NERO,2023
New Hampshire,Mar 2023,39867,74467,NERO,2023
New Hampshire,Apr 2023,40498,75675,NERO,2023
New Hampshire,May 2023,41171,76261,NERO,2023
New Hampshire,Jun 2023,41837,77437,NERO,2023
New Hampshire,Jul 2023,41593,76631,NERO,2023
New Hampshire,Aug 2023,42187,77563,NERO,2023
New Hampshire,Sep 2023,42214,77487,NERO,2023
New York,Oct 2022,1639403,2830123,NERO,2023
New York,Nov 2022,1647311,2835706,NERO,2023
New York,Dec 2022,1670664,2887608,NERO,2023
New York,Jan 2023,1691805,2925621,NERO,2023
New York,Feb 2023,1688097,2918862,NERO,2023
New York,Mar 2023,1712143,2953655,NERO,2023
New York,Apr 2023,1683932,2908512,NERO,2023
New York,May 2023,1688210,2910493,NERO,2023
New York,Jun 2023,1679975,2892567,NERO,2023
New York,Jul 2023,1674290,2880386,NERO,2023
New York,Aug 2023,1664204,2860116,NERO,2023
New York,Sep 2023,1647898,2830301,NERO,2023
Rhode Island,Oct 2022,85701,139875,NERO,2023
Rhode Island,Nov 2022,86506,141377,NERO,2023
Rhode Island,Dec 2022,86988,142435,NERO,2023
Rhode Island,Jan 2023,87337,143099,NERO,2023
Rhode Island,Feb 2023,87845,143832,NERO,2023
Rhode Island,Mar 2023,87920,143739,NERO,2023
Rhode Island,Apr 2023,88071,143428,NERO,2023
Rhode Island,May 2023,88358,143942,NERO,2023
Rhode Island,Jun 2023,88547,143914,NERO,2023
Rhode Island,Jul 2023,88319,143309,NERO,2023
Rhode Island,Aug 2023,88618,143501,NERO,2023
Rhode Island,Sep 2023,88644,143099,NERO,2023
Vermont,Oct 2022,41689,71528,NERO,2023
Vermont,Nov 2022,41936,72032,NERO,2023
Vermont,Dec 2022,42034,72025,NERO,2023
Vermont,Jan 2023,42191,72285,NERO,2023
Vermont,Feb 2023,41875,71759,NERO,2023
Vermont,Mar 2023,41701,71340,NERO,2023
Vermont,Apr 2023,41503,70766,NERO,2023
Vermont,May 2023,41434,70451,NERO,2023
Vermont,Jun 2023,41217,69935,NERO,2023
Vermont,Jul 2023,40758,69121,NERO,2023
Vermont,Aug 2023,40558,68740,NERO,2023
Vermont,Sep 2023,40305,68240,NERO,2023
Delaware,Oct 2022,60091,121048,MARO,2023
Delaware,Nov 2022,60688,122688,MARO,2023
Delaware,Dec 2022,61325,124197,MARO,2023
